Id,Label,PageRank
1,"SCHWEIZERISCHE NATIONALBANK",0.00036058940362587
2,"LANDQART AG",1.86691552373688e-05
3,"ORELL FUESSLI HOLDING AG",1.86691552373688e-05
4,"BANK FOR INTERNATIONAL SETTLEMENTS, BIS",1.86691552373688e-05
5,"MOWI ASA",1.86691552373688e-05
6,"NEL ASA",1.86691552373688e-05
7,"TGS ASA",1.86691552373688e-05
8,"EUROPRIS ASA",1.86691552373688e-05
9,"NORDIC SEMICONDUCTOR ASA",1.86691552373688e-05
10,"NORSK HYDRO ASA",1.86691552373688e-05
11,"ORKLA ASA",1.86691552373688e-05
12,"SPAREBANK 1 NORD-NORGE",0.000374194734859653
13,"STOREBRAND ASA",1.86691552373688e-05
14,"BLUENORD ASA",1.86691552373688e-05
15,"CONCENTRA GROUP HOLDINGS PARENT INC",1.86691552373688e-05
16,"CRAYON GROUP HOLDING ASA",1.86691552373688e-05
17,"KITRON ASA",1.86691552373688e-05
18,"SPAREBANK 1 SMN",0.000513625802848463
19,"YARA INTERNATIONAL ASA",1.86691552373688e-05
20,"MPC CONTAINER SHIPS ASA",1.86691552373688e-05
21,"NORWEGIAN AIR SHUTTLE ASA",1.86691552373688e-05
22,"SCATEC ASA",1.86691552373688e-05
23,"TOMRA SYSTEMS ASA",1.86691552373688e-05
24,"AKER BP ASA",1.86691552373688e-05
25,"ATEA ASA",1.86691552373688e-05
26,"KONGSBERG GRUPPEN ASA",1.86691552373688e-05
27,"SALMAR ASA",1.86691552373688e-05
28,"VEND MARKETPLACES ASA",1.86691552373688e-05
29,"HEXAGON COMPOSITES ASA",1.86691552373688e-05
30,"PROTECTOR FORSIKRING ASA",1.86691552373688e-05
31,"TELENOR ASA",1.86691552373688e-05
32,"AKER SOLUTIONS ASA",1.86691552373688e-05
33,"DOF GROUP ASA",1.86691552373688e-05
34,"GJENSIDIGE FORSIKRING ASA",1.86691552373688e-05
35,"HOEGH AUTOLINERS ASA",1.86691552373688e-05
36,"SPAREBANK 1 SOR-NORGE",0.000686502136139171
37,"AUSTEVOLL SEAFOOD ASA",1.86691552373688e-05
38,"DNO ASA",1.86691552373688e-05
39,"ELKEM ASA",1.86691552373688e-05
40,"GRIEG SEAFOOD ASA",1.86691552373688e-05
41,"LEROY SEAFOOD GROUP ASA",1.86691552373688e-05
42,"ENTRA ASA",1.86691552373688e-05
43,"EQUINOR ASA",1.86691552373688e-05
44,"SPAREBANK 1 OESTLANDET",0.000434349442885519
45,"AKER ASA",1.86691552373688e-05
46,"WALLENIUS WILHELMSEN ASA",1.86691552373688e-05
47,"HSBC HOLDINGS PLC",0.00362850865343848
48,"HSBC (GENERAL PARTNER) LIMITED",1.86691552373688e-05
49,"HSBC ASIA HOLDINGS LIMITED",1.86691552373688e-05
50,"HSBC BANK PLC",0.0035757904390128
51,"HSBC CAYMAN LTD",1.86691552373688e-05
52,"HSBC CORPORATE SECRETARY (UK) LIMITED",1.86691552373688e-05
53,"HSBC FINANCE (NETHERLANDS)",1.86691552373688e-05
54,"HSBC FINANCIAL TECHNOLOGY VENTURE CAPITAL FUND SCSP",1.86691552373688e-05
55,"HSBC GLOBAL SERVICES LIMITED",1.86691552373688e-05
56,"HSBC GROUP NOMINEES UK LIMITED",1.86691552373688e-05
57,"HSBC INNOVATION BANK LIMITED",1.86691552373688e-05
58,"HSBC LATIN AMERICA HOLDINGS (UK) LIMITED",0.000209116771957027
59,"HSBC OVERSEAS HOLDINGS (UK) LIMITED",1.86691552373688e-05
60,"HSBC RETIREMENT BENEFITS TRUSTEE (UK) LIMITED",1.86691552373688e-05
61,"TOOLEY STREET VIEW LIMITED",1.86691552373688e-05
62,"HSBC INVESTMENT AND INSURANCE BROKERAGE, PHILIPPINES INC",1.86691552373688e-05
