Id,Label,PageRank,Betweenness
"SCHWEIZERISCHE NATIONALBANK","SCHWEIZERISCHE NATIONALBANK",0.00036058940362587,692
"LANDQART AG","LANDQART AG",1.86691552373688e-05,0
"ORELL FUESSLI HOLDING AG","ORELL FUESSLI HOLDING AG",1.86691552373688e-05,0
"BANK FOR INTERNATIONAL SETTLEMENTS, BIS","BANK FOR INTERNATIONAL SETTLEMENTS, BIS",1.86691552373688e-05,0
"MOWI ASA","MOWI ASA",1.86691552373688e-05,0
"NEL ASA","NEL ASA",1.86691552373688e-05,0
"TGS ASA","TGS ASA",1.86691552373688e-05,0
"EUROPRIS ASA","EUROPRIS ASA",1.86691552373688e-05,0
"NORDIC SEMICONDUCTOR ASA","NORDIC SEMICONDUCTOR ASA",1.86691552373688e-05,0
"NORSK HYDRO ASA","NORSK HYDRO ASA",1.86691552373688e-05,0
"ORKLA ASA","ORKLA ASA",1.86691552373688e-05,0
"SPAREBANK 1 NORD-NORGE","SPAREBANK 1 NORD-NORGE",0.000374194734859653,421.874603174603
"STOREBRAND ASA","STOREBRAND ASA",1.86691552373688e-05,0
"BLUENORD ASA","BLUENORD ASA",1.86691552373688e-05,0
"CONCENTRA GROUP HOLDINGS PARENT INC","CONCENTRA GROUP HOLDINGS PARENT INC",1.86691552373688e-05,0
"CRAYON GROUP HOLDING ASA","CRAYON GROUP HOLDING ASA",1.86691552373688e-05,0
"KITRON ASA","KITRON ASA",1.86691552373688e-05,0
"SPAREBANK 1 SMN","SPAREBANK 1 SMN",0.000513625802848463,2537.66865079365
"YARA INTERNATIONAL ASA","YARA INTERNATIONAL ASA",1.86691552373688e-05,0
"MPC CONTAINER SHIPS ASA","MPC CONTAINER SHIPS ASA",1.86691552373688e-05,0
"NORWEGIAN AIR SHUTTLE ASA","NORWEGIAN AIR SHUTTLE ASA",1.86691552373688e-05,0
"SCATEC ASA","SCATEC ASA",1.86691552373688e-05,0
"TOMRA SYSTEMS ASA","TOMRA SYSTEMS ASA",1.86691552373688e-05,0
"AKER BP ASA","AKER BP ASA",1.86691552373688e-05,0
"ATEA ASA","ATEA ASA",1.86691552373688e-05,0
"KONGSBERG GRUPPEN ASA","KONGSBERG GRUPPEN ASA",1.86691552373688e-05,0
"SALMAR ASA","SALMAR ASA",1.86691552373688e-05,0
"VEND MARKETPLACES ASA","VEND MARKETPLACES ASA",1.86691552373688e-05,0
"HEXAGON COMPOSITES ASA","HEXAGON COMPOSITES ASA",1.86691552373688e-05,0
"PROTECTOR FORSIKRING ASA","PROTECTOR FORSIKRING ASA",1.86691552373688e-05,0
"TELENOR ASA","TELENOR ASA",1.86691552373688e-05,0
"AKER SOLUTIONS ASA","AKER SOLUTIONS ASA",1.86691552373688e-05,0
"DOF GROUP ASA","DOF GROUP ASA",1.86691552373688e-05,0
"GJENSIDIGE FORSIKRING ASA","GJENSIDIGE FORSIKRING ASA",1.86691552373688e-05,0
"HOEGH AUTOLINERS ASA","HOEGH AUTOLINERS ASA",1.86691552373688e-05,0
"SPAREBANK 1 SOR-NORGE","SPAREBANK 1 SOR-NORGE",0.000686502136139171,929.020670995671
"AUSTEVOLL SEAFOOD ASA","AUSTEVOLL SEAFOOD ASA",1.86691552373688e-05,0
"DNO ASA","DNO ASA",1.86691552373688e-05,0
"ELKEM ASA","ELKEM ASA",1.86691552373688e-05,0
"GRIEG SEAFOOD ASA","GRIEG SEAFOOD ASA",1.86691552373688e-05,0
"LEROY SEAFOOD GROUP ASA","LEROY SEAFOOD GROUP ASA",1.86691552373688e-05,0
"ENTRA ASA","ENTRA ASA",1.86691552373688e-05,0
"EQUINOR ASA","EQUINOR ASA",1.86691552373688e-05,0
"SPAREBANK 1 OESTLANDET","SPAREBANK 1 OESTLANDET",0.000434349442885519,587.334956709957
"AKER ASA","AKER ASA",1.86691552373688e-05,0
"WALLENIUS WILHELMSEN ASA","WALLENIUS WILHELMSEN ASA",1.86691552373688e-05,0
"HSBC HOLDINGS PLC","HSBC HOLDINGS PLC",0.00362850865343848,347.5
"HSBC (GENERAL PARTNER) LIMITED","HSBC (GENERAL PARTNER) LIMITED",1.86691552373688e-05,0
"HSBC ASIA HOLDINGS LIMITED","HSBC ASIA HOLDINGS LIMITED",1.86691552373688e-05,0
"HSBC BANK PLC","HSBC BANK PLC",0.0035757904390128,807
"HSBC CAYMAN LTD","HSBC CAYMAN LTD",1.86691552373688e-05,0
"HSBC CORPORATE SECRETARY (UK) LIMITED","HSBC CORPORATE SECRETARY (UK) LIMITED",1.86691552373688e-05,0
"HSBC FINANCE (NETHERLANDS)","HSBC FINANCE (NETHERLANDS)",1.86691552373688e-05,0
"HSBC FINANCIAL TECHNOLOGY VENTURE CAPITAL FUND SCSP","HSBC FINANCIAL TECHNOLOGY VENTURE CAPITAL FUND SCSP",1.86691552373688e-05,0
"HSBC GLOBAL SERVICES LIMITED","HSBC GLOBAL SERVICES LIMITED",1.86691552373688e-05,0
"HSBC GROUP NOMINEES UK LIMITED","HSBC GROUP NOMINEES UK LIMITED",1.86691552373688e-05,0
"HSBC INNOVATION BANK LIMITED","HSBC INNOVATION BANK LIMITED",1.86691552373688e-05,0
"HSBC LATIN AMERICA HOLDINGS (UK) LIMITED","HSBC LATIN AMERICA HOLDINGS (UK) LIMITED",0.000209116771957027,36
"HSBC OVERSEAS HOLDINGS (UK) LIMITED","HSBC OVERSEAS HOLDINGS (UK) LIMITED",1.86691552373688e-05,0
"HSBC RETIREMENT BENEFITS TRUSTEE (UK) LIMITED","HSBC RETIREMENT BENEFITS TRUSTEE (UK) LIMITED",1.86691552373688e-05,0
"TOOLEY STREET VIEW LIMITED","TOOLEY STREET VIEW LIMITED",1.86691552373688e-05,0
"HSBC INVESTMENT AND INSURANCE BROKERAGE, PHILIPPINES INC","HSBC INVESTMENT AND INSURANCE BROKERAGE, PHILIPPINES INC",1.86691552373688e-05,0
"HSBC EURO PROTECT 80+","HSBC EURO PROTECT 80+",1.86691552373688e-05,0
"HSBC UK HOLDINGS LTD","HSBC UK HOLDINGS LTD",1.86691552373688e-05,0
"HSBC BRIDGETOWN INVESTMENTS BARBADOS LLC","HSBC BRIDGETOWN INVESTMENTS BARBADOS LLC",1.86691552373688e-05,0
"HSBC TRUST COMPANY CANADA","HSBC TRUST COMPANY CANADA",1.86691552373688e-05,0
"HSBC EUROPEAN SENIOR DIRECT LENDING FUND 2023 RAIF SICAV-S.A.","HSBC EUROPEAN SENIOR DIRECT LENDING FUND 2023 RAIF SICAV-S.A.",1.86691552373688e-05,0
"SYNTARA LIMITED","SYNTARA LIMITED",1.86691552373688e-05,0
"RYANAIR HOLDINGS PLC","RYANAIR HOLDINGS PLC",1.86691552373688e-05,0
"GOLDEN ARROW MERGER CORP.","GOLDEN ARROW MERGER CORP.",1.86691552373688e-05,0
"AERIS RESOURCES LIMITED","AERIS RESOURCES LIMITED",1.86691552373688e-05,0
"COMPUTE HEALTH ACQUISITION CORP","COMPUTE HEALTH ACQUISITION CORP",1.86691552373688e-05,0
"ALL ACTIVE ASSET CAPITAL LIMITED","ALL ACTIVE ASSET CAPITAL LIMITED",1.86691552373688e-05,0
"UNITED OIL & GAS PLC","UNITED OIL & GAS PLC",1.86691552373688e-05,0
"SCHRODERS PLC","SCHRODERS PLC",1.86691552373688e-05,0
"ITM POWER PLC","ITM POWER PLC",1.86691552373688e-05,0
"PERNOD RICARD","PERNOD RICARD",1.86691552373688e-05,0
"HUGO BOSS AG","HUGO BOSS AG",1.86691552373688e-05,0
"BANCO SANTANDER SA","BANCO SANTANDER SA",0.00604285594474513,903
"ABBEY NATIONAL (GIBRALTAR) LTD","ABBEY NATIONAL (GIBRALTAR) LTD",1.86691552373688e-05,0
"ABBEY NATIONAL EMPLOYMENT SERVICES INC.","ABBEY NATIONAL EMPLOYMENT SERVICES INC.",1.86691552373688e-05,0
"ABLASA PARTICIPACIONES SL.","ABLASA PARTICIPACIONES SL.",1.86691552373688e-05,0
"ABN AMRO REAL ADMINISTRADORA DE CONSORCIO LTDA","ABN AMRO REAL ADMINISTRADORA DE CONSORCIO LTDA",1.86691552373688e-05,0
"AGENCIA DE SEGUROS SANTANDER LTDA","AGENCIA DE SEGUROS SANTANDER LTDA",1.86691552373688e-05,0
"ALLIANCE & LEICESTER FINANCE CO LTD","ALLIANCE & LEICESTER FINANCE CO LTD",1.86691552373688e-05,0
"ALTAMIRA SANTANDER REAL ESTATE SA","ALTAMIRA SANTANDER REAL ESTATE SA",1.86691552373688e-05,0
"ALTEC SPA","ALTEC SPA",1.86691552373688e-05,0
"ALTERNATIVE LEASING FIL","ALTERNATIVE LEASING FIL",1.86691552373688e-05,0
"ANDROMEDA PRINCIPAL INVESTMENTS SL.","ANDROMEDA PRINCIPAL INVESTMENTS SL.",1.86691552373688e-05,0
